variable,coef,HR,CI_lower,CI_upper,p_value
glycine_ratio,1.4708858123745396,4.353089454217592,3.463548838702214,5.471090109854123,1.825442429497271e-36
serine_ratio,0.570117745903173,1.768475269892952,1.4610133114852815,2.1406408522339166,4.895135187646356e-09
hydrophobic_ratio,0.1680266259475113,1.182968107875235,0.9855741168665038,1.4198968096880984,0.07123794325580583
cdr3_len,0.07791587314965061,1.08103171105159,1.0713330043288465,1.0908182195238487,2.0931716340906636e-64
positive_ratio,-0.048303779337382245,0.9528442887012685,0.7313129434862919,1.2414825234494766,0.7205037391709448
aromatic_ratio,-0.40491370103601915,0.6670343727499808,0.5223579040002755,0.8517816061030172,0.0011702820681467267
