threshold,pass_rate,sensitivity,precision
0.82,0.27743094967839577,1.0,0.02216160927378111
0.825,0.2773363601967461,1.0,0.022169167803547066
0.83,0.2773363601967461,1.0,0.022169167803547066
0.835,0.27676882330684827,1.0,0.02221462747778537
0.84,0.27676882330684827,1.0,0.02221462747778537
0.845,0.27014755959137343,1.0,0.02275910364145658
0.85,0.27014755959137343,1.0,0.02275910364145658
0.855,0.24971623155505107,1.0,0.02462121212121212
0.86,0.24971623155505107,1.0,0.02462121212121212
0.865,0.20346197502837685,1.0,0.030218503021850304
0.87,0.20346197502837685,1.0,0.030218503021850304
0.875,0.12060158910329172,1.0,0.050980392156862744
0.88,0.12060158910329172,1.0,0.050980392156862744
0.885,0.04937570942111237,0.6153846153846154,0.07662835249042145
0.89,0.04937570942111237,0.6153846153846154,0.07662835249042145
0.895,0.008040105940219448,0.1076923076923077,0.08235294117647059
0.9,0.008040105940219448,0.1076923076923077,0.08235294117647059
0.905,0.00018917896329928113,0.0,0.0
0.91,0.00018917896329928113,0.0,0.0
0.915,0.0,0.0,0.0
0.92,0.0,0.0,0.0
