variable,coef,HR,CI_lower,CI_upper,p_value
glycine_ratio,1.3982236126874585,4.048002755483824,3.2123678689266497,5.101011769825667,2.0898752415372747e-32
aromatic_ratio,1.1274569841808197,3.0877941978907035,2.4288057859865533,3.9255806551262387,3.410397323552542e-20
serine_ratio,0.6072971476666355,1.8354637009820933,1.519264337456577,2.2174725717993575,3.06571820424685e-10
hydrophobic_ratio,0.35622721420622994,1.4279319578335674,1.1895050923362847,1.7141495982986195,0.00013251548329397015
positive_ratio,0.33324982346271437,1.3954958825393307,1.0754810410862476,1.8107327640265245,0.01215891313699769
cdr3_len,0.13621519439628188,1.1459284644476664,1.135740620103689,1.15620769600677,2.227066056476299e-196
